"Story","Title","Result","Date","Stability","Duration (s)"
"Categories curd test","This is Created The New Categories","SUCCESS","2022-06-05T13:13:35.324+01:00[Europe/London]","0.0","4.69"
"Categories curd test","This is get Product List by ID","SUCCESS","2022-06-05T13:13:40.048+01:00[Europe/London]","0.0","0.13"
"Categories curd test","This is Update The Categories By ID","SUCCESS","2022-06-05T13:13:40.182+01:00[Europe/London]","0.0","0.11"
"Categories curd test","This is Delete The Categories By ID","SUCCESS","2022-06-05T13:13:40.290+01:00[Europe/London]","0.0","0.37"
"Product curd test","This is Created The New Product","SUCCESS","2022-06-05T13:13:35.339+01:00[Europe/London]","0.0","4.84"
"Product curd test","This is get Product List by ID","SUCCESS","2022-06-05T13:13:40.207+01:00[Europe/London]","0.0","0.08"
"Product curd test","This is Update The Product By ID","SUCCESS","2022-06-05T13:13:40.290+01:00[Europe/London]","0.0","0.38"
"Product curd test","This is Delete The Product By ID","SUCCESS","2022-06-05T13:13:40.672+01:00[Europe/London]","0.0","0.06"
"Services curd test","This is Created The New Services","SUCCESS","2022-06-05T13:13:42.258+01:00[Europe/London]","0.0","0.05"
"Services curd test","This is get Services List by ID","SUCCESS","2022-06-05T13:13:42.311+01:00[Europe/London]","0.0","0.04"
"Services curd test","This is Update The Services By ID","SUCCESS","2022-06-05T13:13:42.354+01:00[Europe/London]","0.0","0.04"
"Services curd test","This is Delete The Services By ID","SUCCESS","2022-06-05T13:13:42.405+01:00[Europe/London]","0.0","0.03"
"Stores curd test","This is Created The New Store","SUCCESS","2022-06-05T13:13:41.510+01:00[Europe/London]","0.0","0.08"
"Stores curd test","This is get Store List by ID","SUCCESS","2022-06-05T13:13:41.589+01:00[Europe/London]","0.0","0.09"
"Stores curd test","This is Update The Store By ID","SUCCESS","2022-06-05T13:13:41.678+01:00[Europe/London]","0.0","0.09"
"Stores curd test","This is Delete The Store By ID","SUCCESS","2022-06-05T13:13:41.769+01:00[Europe/London]","0.0","0.05"
"Utilites curd test","This is get Utilites List And Verify version","SUCCESS","2022-06-05T13:13:41.900+01:00[Europe/London]","0.0","0.03"
"Utilites curd test","This is get Utilites List And Verify uptime","SUCCESS","2022-06-05T13:13:41.931+01:00[Europe/London]","0.0","0.13"
